"","SampleID","Height","MeanEst","Site","Sample"
"1","NB1100",0,1998.5,"NB1",1
"2","NB1110",10,2010,"NB1",1
"3","NB1120",20,2011,"NB1",1
"4","NB1130",30,2013,"NB1",1
"5","NB1200",0,2007,"NB1",2
"6","NB1210",10,2007,"NB1",2
"7","NB1220",20,2012,"NB1",2
"8","NB1230",30,2012,"NB1",2
"9","NB1240",40,2012,"NB1",2
"10","NB1250",50,2012,"NB1",2
"11","NB1260",60,2014,"NB1",2
"12","NB1300",0,2006,"NB1",3
"13","NB1310",10,2008,"NB1",3
"14","NB1330",30,2010,"NB1",3
"15","NB1340",40,2012,"NB1",3
"16","NB1400",0,2007,"NB1",4
"17","NB1410",10,2010,"NB1",4
"18","NB1420",20,2014,"NB1",4
"19","NB1430",30,2012,"NB1",4
"20","NB1500",0,2011,"NB1",5
"21","NB1510",10,2012,"NB1",5
"22","NB1520",20,2014,"NB1",5
"23","NB1530",30,2014,"NB1",5
"24","NB1540",40,2016,"NB1",5
"25","NB1600",0,2011,"NB1",6
"26","NB1610",10,2011,"NB1",6
"27","NB1620",20,2014,"NB1",6
"28","NB1630",30,2014,"NB1",6
"29","NB1640",40,2014,"NB1",6
"30","NB1650",50,2014,"NB1",6
"31","NB1660",60,2016,"NB1",6
"32","NB1700",0,2005,"NB1",7
"33","NB1710",10,2011,"NB1",7
"34","NB1720",20,2011,"NB1",7
"35","NB1730",30,2014,"NB1",7
"36","NB1740",40,2014,"NB1",7
"37","NB1750",50,2014,"NB1",7
"38","NB1800",0,2000,"NB1",8
"39","NB1810",10,2011,"NB1",8
"40","NB1820",20,2014,"NB1",8
"41","NB1900",0,2005,"NB1",9
"42","NB1910",10,2010,"NB1",9
"43","NB1920",20,2011,"NB1",9
"44","NB1930",30,2012,"NB1",9
"45","NB11000",0,2003,"NB1",10
"46","NB11010",10,2011,"NB1",10
"47","NB11020",20,2012,"NB1",10
"110","NB20",0,2004,"NB2",0
"210","NB22",0,2004,"NB2",2
"310","NB23",0,2006,"NB2",3
"48","NB24",0,2006,"NB2",4
"111","NB301",0,2006,"NB3",1
"211","NB302",0,2006,"NB3",2
"311","NB303",0,2000,"NB3",3
"49","NB304",0,2014,"NB3",4
"51","NB305",0,2010,"NB3",5
"61","NB306",0,2011,"NB3",6
"71","NB307",0,2000,"NB3",7
"81","NB308",0,2014,"NB3",8
"91","NB309",0,2006,"NB3",9
"101","NB310",0,2006,"NB3",10
"112","NB311",0,1997,"NB3",11
"121","NB312",0,2003,"NB3",12
