"","Year","Tave_01","Tave_02","Tave_03","Tave_04","Tave_05","Tave_06","Tave_07","Tave_08","Tave_09","Tave_10","Tave_11","Tave_12"
"1","1979",-16.4804653098333,-20.2116999935,-16.8142055650645,-6.33700391846667,1.64739451041935,3.35558341243333,8.87720130329032,8.24536362119355,2.66468382696667,-3.45846247358065,-10.1205365806333,-18.0095978866129
"2","1980",-15.1522166474839,-18.5780012077241,-13.8130550884516,-8.88368626456667,-0.311356794645161,4.03539095023333,8.92244698554839,10.3744091485161,2.99981008536667,-2.12483344593548,-8.7763053174,-17.7322122555161
"3","1981",-17.4535923069677,-14.7573305532143,-8.89754642380645,-9.34567158666667,-1.643190188,3.05962492723333,9.05220019351613,9.08086038270968,6.05832292843333,-0.666091683645161,-7.28731402346667,-12.3963403359355
"4","1982",-15.9086858566774,-24.3517139489286,-18.4822633413548,-10.9725500653667,-1.7341274746129,3.21655140453333,8.16381296883871,7.22754108519355,1.62279924253333,-3.38562620890323,-10.2307834370667,-21.2077408971613
"5","1983",-27.4037403870968,-22.5766876696429,-17.4410630322903,-4.9430920055,-1.72213367735484,4.62962330963333,8.11404363632258,7.13727634951613,3.17461283703333,-2.70448067703226,-9.03884175933333,-18.5616100610645
"6","1984",-27.1446687512903,-22.4730229654483,-15.2936833554194,-7.96825612833333,-0.294471792354839,4.30762705586667,8.34359114187097,8.7245081583871,2.1476715296,-3.12793668477419,-7.74931883063333,-20.4969636886129
"7","1985",-14.0407118289677,-18.71745113375,-15.2259297500645,-9.62266531903333,-3.35272749832258,5.9212127763,8.99359566148387,8.29030132370968,4.36960412463333,-3.0486466073871,-6.38268004326667,-12.6222206110645
"8","1986",-19.8581112357742,-15.8926807417857,-20.439713492871,-6.05883532373333,-0.159639145935484,0.765533384666667,7.865175503,10.3549849979032,4.1919683891,-4.94425405551613,-15.155382626,-19.087589210129
"9","1987",-20.5845728495806,-16.9384186695714,-15.6733214203871,-6.25515729716667,-2.37669916448387,3.84001022923333,7.32261007203226,8.28745334796774,4.90631029353333,-1.80689716477419,-9.0393237334,-16.1668267871935
"10","1988",-25.0935063767097,-23.339144172069,-14.0271002013871,-5.98932269526667,-0.344397355548387,2.36136232913333,8.26927668070968,9.13438308490323,3.688602749,-0.464624082548387,-6.5126410622,-20.1952213093548
"11","1989",-25.68034521,-24.6564737178571,-20.2112270112903,-6.57023223476667,-2.63465742164516,5.17803786263333,7.98353860512903,6.83189719422581,2.7787530889,-2.14373094974194,-10.0091827277333,-16.2448804804194
"12","1990",-21.8008145596774,-25.4832236442857,-15.9312268057097,-9.99037969506667,-1.92732921616129,3.95615193356667,8.35899093048387,8.36645851929032,1.5470461878,-3.0732559636129,-7.15726314976667,-19.9524864552258
"13","1991",-27.65302567,-24.2170311835714,-13.4763544442581,-10.4033547257,-2.78635512393548,3.05635158806667,8.07202532654839,8.24752050283871,3.45118027813333,-2.64743487780645,-7.39504670033333,-20.5015769754839
"14","1992",-20.0932268704839,-26.4953038131034,-17.71300381,-12.4872923336667,-4.21376035012903,1.23468845736667,7.77713709716129,6.82647739348387,3.21796666273333,-1.27364821816129,-12.2242087398667,-20.6810127780323
"15","1993",-23.6228716219677,-24.9992947614286,-18.8866675132258,-10.1233599608667,-1.8546434046129,3.69763512706667,9.66012308435484,7.86615914780645,3.40363265123333,-3.10557047206452,-12.0113673485333,-17.8341772029355
"16","1994",-23.8950944771613,-23.2294985663929,-17.2100378904516,-9.41689653583333,-1.59903202612903,4.63399616863333,8.61182707445161,6.59140532606452,4.60275848386667,0.0944092938709677,-6.2519388454,-16.7848987462581
"17","1995",-21.9561696445161,-23.98113310425,-18.4979742745484,-5.76961520383333,1.14483729593548,4.85406714496667,10.0335022124839,7.73506177180645,3.6992617153,-2.01712131893548,-7.97498615023333,-13.5695077730968
"18","1996",-21.9278599423871,-15.636822627,-14.6131206968387,-3.05890252786667,-2.08240697380645,2.35043677383333,7.74009018254839,9.01055582458065,4.03549615343333,-1.925189208,-6.0771485293,-13.7742502158065
"19","1997",-17.6162819407419,-25.7546720985714,-17.5135922961613,-9.42321189766667,-0.799300447419355,3.75223723896667,7.21871201770968,8.58724535635484,4.49076811596667,-1.59238121612903,-8.1959623347,-13.6991770468065
"20","1998",-20.6228630431613,-20.6906422685714,-16.4667987471613,-6.49566263313333,-0.128045706419355,4.84370567726667,9.45928307525806,8.68645581754839,6.0385779576,-2.143434145,-7.25945836343333,-14.2602847335806
"21","1999",-20.6932483632903,-18.5279189515714,-10.3541993782581,-5.91735795586667,0.0659807933225807,4.68402302983333,8.99863084129032,8.31793512022581,4.1041029006,-3.73327461170968,-9.0535641465,-13.0522789500645
"22","2000",-21.22412674,-21.9436168187241,-12.7215131098065,-7.89130893883333,-2.22613617235484,3.21974982966667,9.88720115032258,10.5170898927742,4.4736109852,-2.91072532909677,-6.01509776703333,-10.639980306
"23","2001",-22.2313385616129,-20.6552966432857,-8.26123674309677,-8.3865150389,1.29461581670968,4.18419283613333,7.72917790574194,9.04141707858065,3.88311224763333,-0.553809818806452,-7.3698487019,-9.1698554793871
"24","2002",-23.5416637053548,-22.1350331258214,-17.814774814,-9.3401389763,-2.64106688296774,2.8531409528,8.77304947558065,8.10172623129032,4.8183977716,-0.994915160225806,-8.16174063273333,-13.8723872870645
"25","2003",-16.0426057987097,-23.5344878864286,-20.2339967370968,-8.9197123481,1.23121783119355,4.7677123786,9.59551761087097,9.50249237970968,8.0477228871,-0.252679038322581,-5.43779939196667,-10.7956313770323
"26","2004",-16.4989814090645,-18.1237559207586,-16.3410866699032,-7.78581307723333,-1.15844046032258,4.141400038,9.63183594635484,8.83038203783871,3.61099594203333,0.914814643129032,-6.0941154312,-17.3418664060323
"27","2005",-24.4605705851613,-17.7432125369643,-12.2252744163226,-4.64560257803333,1.41105403916129,5.50630824873333,9.91256444480645,7.71963180512903,4.7226476795,0.715352237903226,-6.13397733566667,-13.7338085064839
"28","2006",-18.4405632879355,-14.92920851075,-8.55384568503226,-3.85490457726667,2.33453244577419,6.14473113176667,9.76352124335484,8.3590926213871,5.01017360923333,1.01854208922581,-6.0382371586,-13.0050116817419
"29","2007",-15.9907529985806,-13.8560933105357,-15.9129659204516,-7.2640957916,-3.2537560666129,4.44384246143333,10.0955133967097,8.6549780103871,2.6561422194,-1.03427793074194,-9.68530371996667,-19.3306151436452
"30","2008",-21.626586024129,-22.3902081196552,-17.5256265369355,-5.34910812853333,1.28215262190323,7.9216951166,10.1371220463226,9.55499930535484,4.21803342093333,0.244050443483871,-5.9000005232,-17.6568016860323
"31","2009",-17.5209755664194,-16.1046482069643,-15.5172925495161,-8.69507054776667,-3.82260676103226,3.30448334723333,8.67378845683871,7.18036817567742,3.43512075143333,-2.02968660245161,-6.45402027753333,-7.92030528177419
"32","2010",-12.967098715,-7.79953179675,-11.503752504,-2.8719820974,0.370587223645161,3.7251024429,9.42664258803226,12.2312792711613,5.76822769176667,1.39282660912903,-2.97953820686667,-5.38467559448387
"33","2011",-11.5288772879032,-21.1559493982857,-15.1434974673226,-11.0482696095333,-2.65868785535484,3.98408582556667,9.33012293809677,9.63665652712903,4.5529853355,-0.630958689354839,-7.3199150723,-15.6258468468387
"34","2012",-18.6804218677742,-19.6351410962069,-16.174142047129,-6.9609787231,-0.304317074,9.3256519251,9.8235635976129,10.545722852129,6.37124581563333,0.250173321193548,-5.98858536606667,-11.670467271871
"35","2013",-17.6256359561935,-16.8761165681786,-8.3770421063871,-6.63490869006667,-2.52406174609677,1.86702324333333,7.53383111970968,8.67500530035484,3.96088534246667,0.326650111516129,-7.88312552033333,-18.5594550835484
"36","2014",-17.2758603338387,-20.7324582228571,-18.4764531674194,-10.3608990685667,-0.652766916967742,6.38093586273333,8.55066910167742,11.4658080529677,3.3770049664,0.437807546870968,-9.04176147426667,-14.9073971923871
"37","2015",-23.8836,-25.6670482342857,-18.8329796770323,-7.84113216056667,-1.73992558122581,4.7605095737,8.62720239116129,8.69782720506452,3.85328227033333,-2.38326168103226,-8.7710158223,-15.700200911
"38","2016",-16.4818594536129,-18.6385979751724,-16.4825185527097,-9.69249810283333,-0.825508677677419,4.15598207163333,9.10740489451613,9.16715880829032,4.53523643326667,-2.70882279783871,-7.16661631153333,-18.5624242896129
"39","2017",-17.2132595687742,-20.5169628617857,-16.1024670826774,-9.1943307792,-0.719707523741935,3.96765478756667,9.20890038070968,8.80703104712903,4.70150716753333,-0.315086987193548,-6.8093276351,-11.5939844840323
"40","2018",-19.3236403441935,-23.7029980375,-7.81470463077419,-10.0102494324333,-5.41863941493548,0.8992214935,8.4596446933871,9.16259907387097,3.11428800083333,-3.71090078009677,-8.77130384433333,-13.8037358644839
"41","2019",-21.3664053282581,-18.8486463753929,-15.608850648,-7.33647095593333,1.58928925854839,5.59832044816667,8.711882297,8.27917298067742,NA,NA,NA,NA
